funcion_entrenamiento,n_neurons,avg_c,C1_1,C1_2,C1_3,C2_1,C2_2,C2_3,C3_1,C3_2,C3_3,tiempo_entrenamiento
trainrp,46,0.0541111111111111,130.3,11.2,24.5,3,36.1,328.9,17.5,4.5,6644,1.290625
trainrp,47,0.05325,130.2,11.6,24.2,2.6,45.6,319.8,19.3,5.9,6640.8,1.4828125
trainrp,48,0.0560833333333333,128.1,11.5,26.4,4,23.4,340.6,16.3,5,6644.7,1.103125
trainrp,49,0.054125,126.2,9.9,29.9,3.3,40.1,324.6,15.8,6.2,6644,1.2671875
trainrp,50,0.0558055555555556,128.5,10.6,26.9,3.7,24.6,339.7,17.1,3.8,6645.1,1.15625
trainscg,1,0.063875,80.7,3.9,81.4,8.7,6.6,352.7,9.7,3.5,6652.8,0.5140625
trainscg,2,0.0657777777777778,66.9,7.4,91.7,7.3,10.5,350.2,8.9,8.1,6649,0.5234375
trainscg,3,0.0580972222222222,125.9,12.4,27.7,14.1,15.8,338.1,17.3,8.7,6640,0.721875
trainscg,4,0.0609722222222222,90.2,11.5,64.3,8.8,23.1,336.1,10.6,7.7,6647.7,0.73125
trainscg,5,0.0593888888888889,113.8,13.6,38.6,9,12.8,346.2,12.5,7.7,6645.8,0.721875
trainscg,6,0.0570833333333333,122.6,19.4,24,6.2,22.8,339,13,9.4,6643.6,0.8015625
trainscg,7,0.0543611111111111,129,19.1,17.9,9.7,40.6,317.7,15.1,11.9,6639,0.9828125
trainscg,8,0.0560972222222222,125.6,17.6,22.8,8.9,29.6,329.5,15,10.1,6640.9,0.8375
trainscg,9,0.05675,128.1,15.3,22.6,7.2,24.9,335.9,17.3,10.3,6638.4,0.8234375
trainscg,10,0.0559722222222222,125.6,20.2,20.2,7.6,30.8,329.6,16,9.4,6640.6,0.9203125
trainscg,11,0.0572083333333333,123.8,18.7,23.5,4.8,22.5,340.7,14.9,9.3,6641.8,0.925
trainscg,12,0.0563888888888889,114.3,17.5,34.2,5,34.2,328.8,14.4,6.1,6645.5,1.0328125
trainscg,13,0.0578611111111111,124.6,17.8,23.6,5.1,17.8,345.1,17,8,6641,0.8359375
trainscg,14,0.0554027777777778,128.7,15.8,21.5,7.3,30.1,330.6,16.1,7.6,6642.3,0.9703125
trainscg,15,0.0598194444444444,87.7,30.6,47.7,4,34.6,329.4,11.3,7.7,6647,1.203125
trainscg,16,0.0561527777777778,125.1,16.7,24.2,6.5,26.3,335.2,13.9,7.8,6644.3,1.0421875
trainscg,17,0.0584305555555556,122,14.5,29.5,4.1,13.5,350.4,15.3,6.9,6643.8,0.9203125
trainscg,18,0.0561944444444445,125,18.4,22.6,4.6,30.2,333.2,16.9,8.9,6640.2,1.1515625
trainscg,19,0.0579166666666667,119.2,19.1,27.7,3.8,20.5,343.7,14.3,8.4,6643.3,1.05625
